request_num,latency_ms
436,0.10585784912109375
437,0.10585784912109375
438,0.12111663818359375
439,0.1049041748046875
440,0.10561943054199219
441,0.10538101196289062
442,0.10514259338378906
443,0.10418891906738281
444,0.12326240539550781
445,0.1068115234375
446,0.10800361633300781
447,0.08845329284667969
448,0.11038780212402344
449,0.10776519775390625
450,0.10752677917480469
451,0.11277198791503906
452,0.11038780212402344
453,0.10752677917480469
454,0.12826919555664062
455,0.1068115234375
456,0.10776519775390625
457,0.10156631469726562
458,0.10728836059570312
459,0.07987022399902344
460,0.1125335693359375
461,0.12493133544921875
462,0.10561943054199219
463,0.11157989501953125
464,0.11205673217773438
465,0.11849403381347656
466,0.10824203491210938
467,0.10776519775390625
468,0.11014938354492188
469,0.10943412780761719
470,0.10800361633300781
471,0.10752677917480469
472,0.10728836059570312
473,0.10514259338378906
474,0.12421607971191406
475,0.10728836059570312
476,0.10633468627929688
477,0.10776519775390625
478,0.14066696166992188
479,0.10728836059570312
480,0.10561943054199219
481,0.1087188720703125
482,0.10824203491210938
483,0.10728836059570312
484,0.10776519775390625
485,0.110626220703125
486,0.10800361633300781
487,0.13375282287597656
488,0.10514259338378906
489,0.10848045349121094
490,0.10657310485839844
491,0.10728836059570312
492,0.10585784912109375
493,0.10633468627929688
494,0.10561943054199219
495,0.10728836059570312
496,0.10704994201660156
497,0.1385211944580078
498,0.10561943054199219
499,0.10728836059570312
500,0.1327991485595703
501,0.10776519775390625
502,0.11134147644042969
503,0.1385211944580078
504,0.10895729064941406
505,0.10657310485839844
506,0.10752677917480469
507,0.10514259338378906
508,0.10538101196289062
509,0.1068115234375
510,0.10824203491210938
511,0.10657310485839844
512,0.10514259338378906
513,0.10633468627929688
514,0.10800361633300781
515,0.10752677917480469
516,0.10800361633300781
517,0.10752677917480469
518,0.10704994201660156
519,0.10657310485839844
520,0.11515617370605469
521,0.1087188720703125
522,0.1373291015625
523,0.1163482666015625
524,0.11444091796875
525,0.13589859008789062
526,0.11587142944335938
527,0.10895729064941406
528,0.10824203491210938
529,0.110626220703125
530,0.110626220703125
531,0.10824203491210938
532,0.10800361633300781
533,0.10657310485839844
534,0.10633468627929688
535,0.10633468627929688
536,0.10728836059570312
537,0.10704994201660156
538,0.10657310485839844
539,0.14519691467285156
540,0.12469291687011719
541,0.11515617370605469
542,0.11420249938964844
543,0.10633468627929688
544,0.1068115234375
545,0.12326240539550781
546,0.10585784912109375
547,0.1347064971923828
548,0.10633468627929688
549,0.1049041748046875
550,0.10585784912109375
551,0.10561943054199219
552,0.10609626770019531
553,0.10561943054199219
554,0.10538101196289062
555,0.1049041748046875
556,0.10561943054199219
557,0.15091896057128906
558,0.1380443572998047
559,0.10657310485839844
560,0.13113021850585938
561,0.10585784912109375
562,0.10633468627929688
563,0.13136863708496094
564,0.10609626770019531
565,0.10538101196289062
566,0.13136863708496094
567,0.10704994201660156
568,0.10728836059570312
569,0.13136863708496094
570,0.10633468627929688
571,0.10609626770019531
572,0.1316070556640625
573,0.10704994201660156
574,0.10776519775390625
575,0.10538101196289062
576,0.10538101196289062
577,0.10633468627929688
578,0.10442733764648438
579,0.12731552124023438
580,0.10991096496582031
581,0.11014938354492188
582,0.10824203491210938
583,0.1087188720703125
584,0.10943412780761719
585,0.10585784912109375
586,0.10704994201660156
587,0.10848045349121094
588,0.10514259338378906
589,0.10657310485839844
590,0.10561943054199219
591,0.10585784912109375
592,0.10585784912109375
593,0.10776519775390625
594,0.10752677917480469
595,0.10442733764648438
596,0.10848045349121094
597,0.10561943054199219
598,0.10657310485839844
599,0.1049041748046875
600,0.10704994201660156
601,0.1068115234375
602,0.10657310485839844
603,0.11086463928222656
604,0.1239776611328125
605,0.118255615234375
606,0.11920928955078125
607,0.13208389282226562
608,0.11944770812988281
609,0.09989738464355469
610,0.08630752563476562
611,0.1323223114013672
612,0.11444091796875
613,0.11444091796875
614,0.14162063598632812
615,0.13256072998046875
