request#,latency_ms,success
773,4.51,yes
774,4.45,yes
775,4.99,yes
776,4.53,yes
777,4.75,yes
778,4.64,yes
779,4.58,yes
780,4.55,yes
781,5.26,yes
782,4.65,yes
783,4.51,yes
784,3.11,yes
785,4.59,yes
786,4.71,yes
787,4.74,yes
788,4.91,yes
789,4.56,yes
790,4.61,yes
791,4.45,yes
792,4.61,yes
793,4.55,yes
794,4.59,yes
795,4.61,yes
796,4.56,yes
797,3.44,yes
798,4.58,yes
799,4.68,yes
800,4.68,yes
801,4.96,yes
802,4.59,yes
803,4.56,yes
804,5.18,yes
805,4.55,yes
806,4.62,yes
807,4.58,yes
808,4.82,yes
809,4.47,yes
810,4.66,yes
811,4.50,yes
812,4.71,yes
813,4.72,yes
814,4.65,yes
815,5.25,yes
816,4.55,yes
817,4.60,yes
818,4.70,yes
819,4.55,yes
820,4.44,yes
821,4.68,yes
822,4.59,yes
823,4.74,yes
824,4.70,yes
825,4.57,yes
826,4.53,yes
827,4.59,yes
828,4.89,yes
829,4.54,yes
830,4.79,yes
831,4.54,yes
832,4.52,yes
833,4.72,yes
834,4.41,yes
835,4.24,yes
836,4.69,yes
837,4.59,yes
838,4.82,yes
839,4.89,yes
840,4.96,yes
841,4.59,yes
842,4.56,yes
843,4.60,yes
844,5.85,yes
845,4.59,yes
846,4.62,yes
847,4.62,yes
848,4.76,yes
849,4.85,yes
850,4.56,yes
851,5.48,yes
852,4.57,yes
853,4.49,yes
854,4.52,yes
855,4.47,yes
856,4.54,yes
857,4.57,yes
858,4.52,yes
859,4.50,yes
860,5.24,yes
861,4.38,yes
862,5.53,yes
863,4.61,yes
864,4.58,yes
865,4.92,yes
866,4.72,yes
867,4.56,yes
868,4.58,yes
869,4.53,yes
870,4.55,yes
871,4.64,yes
872,7.24,yes
873,4.77,yes
874,4.51,yes
875,4.46,yes
876,4.53,yes
877,4.56,yes
878,4.48,yes
879,4.52,yes
880,4.62,yes
881,6.13,yes
882,4.49,yes
