index,latency_ms
932,4.610000
933,4.620000
934,4.720000
935,4.600000
936,4.540000
937,4.570000
938,4.640000
939,4.610000
940,4.590000
941,4.520000
942,4.590000
943,4.650000
944,4.840000
945,4.590000
946,4.880000
947,4.630000
948,4.650000
949,4.920000
950,4.630000
951,4.570000
952,5.160000
953,4.600000
954,4.580000
955,4.860000
956,4.560000
957,4.850000
958,4.710000
959,4.600000
960,4.680000
961,4.590000
962,5.000000
963,4.570000
964,4.650000
965,4.500000
966,4.620000
967,4.540000
968,4.560000
969,4.550000
970,4.880000
971,4.610000
972,4.560000
973,4.590000
974,5.010000
975,4.540000
976,4.580000
977,4.680000
978,4.950000
979,4.460000
980,4.600000
981,4.540000
982,4.800000
983,4.510000
984,4.870000
985,4.830000
986,4.960000
987,4.560000
988,4.610000
989,4.590000
990,4.630000
991,5.730000
992,4.950000
993,4.460000
994,4.910000
995,4.610000
996,4.540000
997,4.830000
998,4.580000
999,4.510000
1000,4.610000
1001,4.890000
1002,4.820000
1003,4.540000
1004,4.690000
1005,4.630000
1006,4.620000
1007,4.820000
1008,5.620000
1009,4.820000
1010,4.820000
1011,4.560000
1012,4.590000
1013,4.610000
1014,4.450000
1015,4.620000
1016,4.650000
1017,4.630000
1018,4.520000
1019,4.580000
1020,4.540000
1021,6.220000
1022,4.580000
1023,4.470000
1024,4.540000
1025,5.160000
1026,4.660000
1027,5.290000
1028,4.540000
1029,4.520000
1030,4.530000
1031,4.550000
1032,5.110000
1033,4.520000
1034,4.630000
1035,4.660000
1036,4.580000
1037,4.470000
1038,4.550000
1039,4.500000
1040,4.570000
1041,4.630000
1042,4.580000
1043,4.840000
1044,4.660000
1045,4.450000
1046,4.460000
1047,4.480000
1048,5.270000
1049,4.560000
1050,4.420000
1051,4.470000
1052,4.480000
1053,5.010000
1054,4.580000
1055,4.560000
1056,4.430000
1057,4.510000
1058,4.930000
1059,4.440000
1060,4.450000
1061,4.470000
1062,4.440000
1063,4.460000
1064,4.440000
1065,4.570000
1066,4.520000
1067,4.510000
1068,4.440000
1069,4.420000
1070,4.490000
1071,4.530000
1072,4.570000
1073,4.500000
1074,3.260000
1075,4.710000
1076,4.470000
1077,4.450000
1078,4.650000
1079,4.480000
1080,5.410000
1081,4.500000
1082,4.640000
1083,4.560000
1084,4.700000
1085,4.450000
1086,4.610000
1087,4.500000
1088,4.630000
1089,4.380000
1090,4.480000
1091,4.440000
1092,4.550000
1093,4.890000
1094,5.320000
1095,4.960000
1096,4.550000
1097,4.520000
1098,4.520000
1099,4.730000
1100,4.600000
1101,4.360000
1102,4.570000
1103,4.690000
1104,4.800000
1105,4.740000
1106,5.020000
1107,4.720000
1108,4.630000
1109,4.500000
1110,4.460000
1111,4.600000
1112,4.440000
1113,5.130000
1114,4.830000
1115,4.560000
1116,4.490000
1117,4.490000
1118,5.040000
1119,4.530000
1120,4.560000
1121,4.570000
1122,4.640000
1123,4.500000
1124,4.770000
1125,4.500000
1126,4.560000
1127,4.470000
1128,4.480000
1129,4.460000
1130,4.510000
1131,4.480000
1132,4.980000
1133,4.880000
1134,4.740000
1135,4.440000
1136,4.590000
1137,4.430000
1138,4.600000
1139,4.470000
1140,4.620000
1141,4.470000
1142,2.990000
1143,4.370000
1144,4.080000
1145,4.530000
1146,4.570000
1147,4.710000
1148,4.470000
1149,4.550000
1150,4.460000
1151,4.840000
1152,4.570000
1153,4.520000
1154,4.740000
1155,4.540000
1156,4.490000
1157,4.470000
1158,4.480000
1159,4.570000
1160,4.650000
1161,5.160000
1162,4.610000
1163,4.460000
1164,4.780000
1165,4.500000
1166,4.680000
1167,4.400000
1168,4.460000
1169,4.520000
1170,4.460000
1171,4.540000
1172,4.570000
1173,4.470000
1174,4.480000
1175,4.570000
1176,4.670000
1177,4.540000
1178,4.480000
1179,4.490000
1180,4.490000
1181,4.590000
1182,4.560000
1183,4.600000
1184,4.590000
1185,4.400000
1186,5.110000
1187,4.340000
1188,4.570000
1189,4.450000
1190,4.440000
1191,4.620000
1192,4.450000
1193,4.470000
1194,4.470000
1195,4.410000
1196,4.540000
1197,5.310000
1198,4.810000
1199,4.540000
1200,4.310000
1201,4.520000
1202,4.510000
1203,4.570000
1204,4.960000
1205,4.420000
1206,4.500000
1207,4.510000
1208,4.480000
1209,4.520000
1210,4.590000
1211,4.430000
1212,4.470000
1213,4.390000
1214,4.400000
1215,4.450000
1216,4.630000
1217,4.590000
1218,4.500000
1219,4.900000
1220,4.890000
1221,4.390000
1222,4.500000
1223,4.510000
1224,4.760000
1225,4.870000
1226,4.580000
1227,5.260000
1228,4.540000
1229,4.470000
1230,4.620000
1231,4.520000
1232,4.510000
1233,4.490000
1234,4.490000
1235,4.520000
1236,5.210000
1237,4.750000
1238,4.570000
1239,4.490000
1240,4.610000
1241,4.600000
1242,4.490000
1243,4.480000
1244,4.710000
1245,4.560000
1246,4.560000
1247,4.450000
1248,4.400000
1249,4.510000
1250,4.500000
1251,4.500000
1252,4.510000
1253,4.540000
1254,4.440000
1255,4.820000
1256,4.530000
1257,4.620000
1258,4.800000
1259,4.560000
1260,4.460000
1261,4.510000
1262,4.520000
1263,4.450000
1264,4.820000
1265,5.260000
1266,4.500000
1267,5.350000
1268,4.540000
1269,5.430000
1270,4.590000
1271,4.500000
1272,4.680000
1273,4.030000
1274,4.620000
1275,4.510000
1276,4.540000
1277,4.440000
1278,4.820000
1279,4.670000
1280,4.850000
1281,4.950000
1282,4.860000
1283,4.420000
1284,4.570000
1285,4.830000
1286,4.440000
1287,4.430000
1288,4.480000
1289,4.410000
1290,4.580000
1291,4.540000
1292,4.410000
1293,4.480000
1294,4.890000
1295,4.660000
1296,4.500000
1297,4.530000
1298,4.450000
1299,4.550000
1300,4.480000
1301,4.370000
1302,4.590000
1303,4.740000
1304,4.380000
1305,4.510000
1306,4.760000
1307,4.560000
1308,4.900000
1309,4.500000
1310,4.570000
1311,4.550000
1312,4.600000
1313,5.130000
1314,4.560000
1315,4.570000
1316,4.750000
1317,4.900000
1318,4.590000
1319,4.610000
1320,4.600000
1321,4.630000
1322,4.620000
1323,4.570000
1324,4.550000
1325,4.740000
1326,4.780000
1327,4.440000
1328,4.520000
